episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,td_error,grad_norm_actor,grad_norm_critic,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
38,155100,1224.2616,147.0864,3649,1,1,0,0,0.2862,1.616,goal,838.7,0.004799,0.530591,-0.896316,0.893154,3.049603,1.736302,0.023289,5.963786,0.499149,0.440351,-0.203707,1.002037,-2.594136,0.054244,2.359576,0.417575,0.070243,0.021127,0.018685,0.0002,0.0002,0.417575,-2.932881,0.007246,9714,gru
39,158767,1234.6529,275.8515,3667,1,1,0,0,0.2986,1.618,goal,859.1,0.003533,0.530992,-0.898741,0.895771,3.0414,1.74042,0.00732,5.975254,0.502115,0.433688,-0.274596,1.0,-2.614104,0.052079,2.360177,0.415576,0.069589,0.02663,0.029152,0.0002,0.0002,0.415576,-2.949534,0.007128,9944,gru
40,162857,1151.5498,418.105,4090,1,1,0,0,0.2971,1.608,goal,879.9,-0.02953,0.52803,-0.898024,0.894155,3.060439,1.768077,0.01124,5.987508,0.51158,0.419012,-0.607812,1.01201,-2.621827,0.069271,2.359104,0.413586,0.079131,0.020916,0.069809,0.0002,0.0002,0.413586,-2.964715,0.007028,10200,gru
41,167437,-320.8131,388.6089,4580,0,0,1,0,1.4407,1.614,collision,904.2,-0.008091,0.530666,-0.895989,0.896587,3.090384,1.759059,0.013757,5.985639,0.486822,0.424949,-0.632698,1.00741,-2.641697,0.059178,2.358743,0.411606,0.074092,0.02364,0.052755,0.0002,0.0002,0.411606,-2.980517,0.006945,10487,gru
42,171614,272.9808,292.7033,4177,0,0,1,0,0.8609,1.619,collision,926.4,0.007485,0.526212,-0.895315,0.895367,3.05123,1.747183,0.010604,5.976748,0.483759,0.422545,-0.418908,1.0,-2.668396,0.033539,2.360015,0.409635,0.059895,0.025269,0.033676,0.0002,0.0002,0.409635,-2.997774,0.006904,10749,gru
43,175914,398.1832,349.9972,4300,0,0,1,0,0.7569,1.614,collision,949.2,-0.016498,0.528604,-0.898598,0.895648,3.055562,1.763057,0.021124,5.989427,0.459651,0.447912,-1.0,1.003243,-2.680705,0.069513,2.359916,0.407673,0.078594,0.02173,0.031962,0.0002,0.0002,0.407673,-3.013813,0.006785,11018,gru
44,180448,-653.7321,276.286,4534,0,0,1,0,1.7675,1.627,collision,973.0,-0.009135,0.525376,-0.898373,0.897336,3.065125,1.740237,0.024429,5.976431,0.446124,0.464826,-1.0,1.0,-2.689303,0.05855,2.359852,0.405721,0.073705,0.024953,0.031364,0.0002,0.0002,0.405721,-3.02988,0.006667,11302,gru
45,184639,558.2128,259.5013,4191,0,0,1,0,0.5718,1.612,collision,995.7,0.00912,0.530869,-0.898856,0.898688,3.086912,1.773917,0.005823,5.986056,0.466244,0.438809,-0.582891,1.0,-2.713437,0.05945,2.358452,0.403778,0.073099,0.021145,0.031048,0.0002,0.0002,0.403778,-3.044741,0.0066,11564,gru
46,188900,433.0654,366.5978,4261,0,0,1,0,0.6884,1.614,collision,1018.4,0.010659,0.528941,-0.898368,0.896482,3.042329,1.739114,0.009665,5.978952,0.448107,0.458311,-0.999999,1.0,-2.728546,0.039878,2.360024,0.401845,0.063857,0.021786,0.044039,0.0002,0.0002,0.401845,-3.062292,0.00649,11831,gru
47,193623,-616.871,368.149,4723,0,0,1,0,1.8375,1.611,collision,1042.3,-0.01003,0.533594,-0.896225,0.896919,3.07946,1.750518,0.015104,5.993377,0.480999,0.430902,-0.66093,1.011586,-2.74584,0.042761,2.360636,0.399921,0.066812,0.024906,0.070935,0.0002,0.0002,0.399921,-3.07898,0.006477,12127,gru
48,198088,-153.9316,230.3297,4465,0,0,1,0,1.2763,1.605,collision,1065.7,-0.001882,0.532361,-0.896748,0.898067,3.049924,1.754697,0.011034,5.987651,0.448759,0.461374,-1.0,1.002022,-2.760719,0.049759,2.357488,0.398006,0.068519,0.023119,0.06429,0.0002,0.0002,0.398006,-3.092212,0.006518,12407,gru
49,202803,-845.4268,22.3217,4715,0,0,1,0,1.9857,1.616,collision,1089.7,-0.015582,0.532259,-0.89767,0.897481,3.062787,1.730231,0.004333,5.992239,0.437755,0.46291,-1.0,1.004424,-2.781322,0.050114,2.36064,0.3961,0.068921,0.023071,0.055127,0.0002,0.0002,0.3961,-3.111246,0.006503,12702,gru
50,206515,1191.5871,26.3255,3712,1,1,0,0,0.2768,1.609,goal,1110.4,-0.002261,0.528179,-0.892464,0.89474,3.017678,1.737542,0.012188,5.988895,0.501628,0.43675,-0.346021,1.004964,-2.801495,0.074504,2.360113,0.394203,0.08176,0.024864,0.057634,0.0002,0.0002,0.394203,-3.126887,0.006469,12934,gru
51,210990,-571.9461,1.2122,4475,0,0,1,0,1.5829,1.623,collision,1134.8,-0.002219,0.522196,-0.890786,0.891277,3.076285,1.763373,0.023692,5.981803,0.446037,0.465403,-1.0,1.0,-2.824624,0.046582,2.358864,0.392316,0.06752,0.02102,0.045671,0.0002,0.0002,0.392316,-3.141843,0.006421,13214,gru
52,214707,1220.8731,96.0014,3717,1,1,0,0,0.2904,1.599,goal,1155.7,-0.005672,0.53574,-0.896353,0.898735,3.061536,1.771302,0.014661,5.993784,0.508166,0.430857,-0.299873,1.005293,-2.834567,0.05613,2.359121,0.390437,0.071696,0.02071,0.034739,0.0002,0.0002,0.390437,-3.158209,0.006383,13447,gru
53,218591,1195.4248,175.7256,3884,1,1,0,0,0.2988,1.605,goal,1176.5,-0.007142,0.527125,-0.894158,0.897757,3.046756,1.771177,0.011705,5.993314,0.50795,0.421926,-0.452334,1.0,-2.871694,0.075462,2.359995,0.388568,0.081397,0.020669,0.036181,0.0002,0.0002,0.388568,-3.175158,0.006343,13690,gru
54,222577,-679.5869,173.1401,3986,0,0,1,0,2.3675,1.608,collision,1196.0,-0.002965,0.533425,-0.893092,0.897087,3.052079,1.747122,0.008334,5.992367,0.463808,0.443017,-0.625613,1.003007,-2.884261,0.031625,2.35803,0.386707,0.058685,0.01748,0.061127,0.0002,0.0002,0.386707,-3.189417,0.006263,13940,gru
55,226201,1241.4361,241.4624,3624,1,1,0,0,0.2985,1.619,goal,1214.7,0.00335,0.519337,-0.896711,0.894793,3.016413,1.737828,0.020843,5.979678,0.501434,0.435156,-0.248026,1.0,-2.901457,0.029504,2.359499,0.384855,0.058226,0.026443,0.076607,0.0002,0.0002,0.384855,-3.20694,0.006148,14167,gru
56,229833,1227.5486,320.9107,3632,1,1,0,0,0.2937,1.619,goal,1233.7,0.001137,0.523817,-0.89599,0.893966,3.06151,1.74783,0.025761,5.986983,0.504706,0.434641,-0.285688,1.001196,-2.927589,0.025128,2.361592,0.383013,0.057284,0.02097,0.071338,0.0002,0.0002,0.383013,-3.225074,0.006043,14394,gru
57,234059,623.3214,444.93,4226,0,0,1,0,0.5542,1.624,collision,1256.2,-0.00032,0.52235,-0.898116,0.89621,3.066522,1.749299,0.006792,5.990282,0.476924,0.429085,-0.398666,1.002039,-2.946754,0.065088,2.359347,0.381179,0.077231,0.02117,0.03817,0.0002,0.0002,0.381179,-3.239043,0.00595,14659,gru
58,238313,67.2823,467.0514,4254,0,0,1,0,1.0422,1.611,collision,1278.1,0.005082,0.526971,-0.895275,0.897684,3.051274,1.755393,0.017597,5.972826,0.482758,0.424152,-0.484576,1.0,-2.966639,0.088101,2.359352,0.379353,0.087653,0.020938,0.049523,0.0002,0.0002,0.379353,-3.255171,0.005964,14925,gru
59,242058,-648.6982,486.7242,3745,0,0,1,0,2.4134,1.611,collision,1297.6,-0.003751,0.530533,-0.898472,0.896737,3.084899,1.751313,0.016561,5.988622,0.444294,0.461787,-1.0,1.0,-2.981539,0.046328,2.360519,0.377537,0.066257,0.020539,0.055891,0.0002,0.0002,0.377537,-3.272434,0.006048,15160,gru
60,246605,-549.2788,312.6376,4547,0,0,1,0,1.711,1.602,collision,1320.3,-0.00056,0.530691,-0.895834,0.895469,3.010448,1.742936,0.011822,5.98446,0.478588,0.433109,-0.541061,1.0,-2.999079,0.056849,2.360152,0.375729,0.072211,0.022042,0.041609,0.0002,0.0002,0.375729,-3.288203,0.006097,15445,gru
61,249850,-622.2523,307.607,3245,0,0,1,0,2.7609,1.618,collision,1339.3,-0.002045,0.528371,-0.896885,0.895676,3.083191,1.761387,0.013879,5.984785,0.456351,0.451236,-0.731955,1.000467,-3.013051,0.043922,2.358849,0.37393,0.065025,0.02198,0.0635,0.0002,0.0002,0.37393,-3.303051,0.006079,15648,gru
62,253557,1235.7221,309.0919,3707,1,1,0,0,0.2989,1.609,goal,1359.8,-0.004134,0.536707,-0.895458,0.896115,3.068013,1.736999,0.005062,5.981159,0.504496,0.432391,-0.272579,1.0,-3.047205,0.048236,2.359176,0.372139,0.068337,0.019652,0.099322,0.0002,0.0002,0.372139,-3.319498,0.00609,15880,gru
63,258290,-877.5455,101.7949,4733,0,0,1,0,1.9292,1.607,collision,1382.6,-0.002293,0.534978,-0.895681,0.897469,3.055458,1.747201,0.016435,5.991782,0.437438,0.464815,-1.0,1.0,-3.060766,0.072822,2.360962,0.370358,0.080401,0.020621,0.083911,0.0002,0.0002,0.370358,-3.337392,0.006048,16176,gru
64,262634,363.2071,206.0743,4344,0,0,1,0,0.7904,1.607,collision,1404.2,0.011109,0.52797,-0.896609,0.897384,3.021971,1.747058,0.016284,5.989946,0.480634,0.426052,-0.514745,1.004073,-3.079024,0.037701,2.358986,0.368584,0.06071,0.019463,0.103743,0.0002,0.0002,0.368584,-3.351552,0.006007,16448,gru
65,266315,1195.2716,201.4578,3681,1,1,0,0,0.2986,1.632,goal,1424.1,-0.005062,0.524719,-0.897102,0.895333,3.068695,1.724674,0.026295,5.986073,0.508763,0.422838,-0.378874,1.0,-3.106962,0.062101,2.359,0.366819,0.073482,0.020191,0.078882,0.0002,0.0002,0.366819,-3.367692,0.006034,16679,gru
66,269883,1201.2421,198.8272,3568,1,1,0,0,0.2993,1.623,goal,1441.8,-0.013179,0.524331,-0.898246,0.896583,3.063565,1.7616,0.009052,5.964868,0.510674,0.427658,-0.409161,1.0,-3.125361,0.06504,2.358666,0.365062,0.074601,0.020867,0.070523,0.0002,0.0002,0.365062,-3.38348,0.006138,16902,gru
67,274476,-678.3123,68.6638,4593,0,0,1,0,1.8676,1.614,collision,1462.0,0.001234,0.528337,-0.895484,0.893024,3.019096,1.723224,0.016047,5.994938,0.476059,0.434799,-0.557906,1.0,-3.14464,0.03523,2.359494,0.363314,0.059083,0.019481,0.053996,0.0002,0.0002,0.363314,-3.400443,0.006258,17190,gru
68,277401,-650.6085,-3.1253,2925,0,0,1,0,2.9195,1.611,collision,1478.2,-0.017533,0.525239,-0.896677,0.893973,3.073828,1.772897,0.016412,5.988111,0.437235,0.463544,-1.0,1.0,-3.159029,0.073998,2.357008,0.361574,0.07872,0.023192,0.076714,0.0002,0.0002,0.361574,-3.414042,0.00626,17373,gru
69,281924,-515.2012,10.2244,4523,0,0,1,0,1.6882,1.618,collision,1499.3,-0.011362,0.530998,-0.896105,0.896677,3.072689,1.748718,0.010804,5.988139,0.483851,0.429138,-0.649412,1.0,-3.184088,0.051863,2.360757,0.359842,0.068322,0.021053,0.118252,0.0002,0.0002,0.359842,-3.43399,0.006226,17656,gru
70,285492,1214.2113,186.5734,3568,1,1,0,0,0.2995,1.618,goal,1518.3,0.00486,0.527399,-0.897719,0.892943,3.046085,1.750898,0.02159,5.983435,0.496685,0.443573,-0.355548,1.0,-3.209293,0.078034,2.360051,0.358119,0.081268,0.01728,0.117802,0.0002,0.0002,0.358119,-3.4494,0.006147,17879,gru
71,289886,-59.0546,242.8932,4394,0,0,1,0,1.2105,1.611,collision,1540.1,-0.003084,0.524255,-0.897105,0.893545,3.017837,1.738312,0.026556,5.978745,0.451015,0.459738,-1.0,1.001096,-3.222167,0.052031,2.359227,0.356404,0.06717,0.017651,0.064637,0.0002,0.0002,0.356404,-3.464681,0.00606,18154,gru
72,294438,-247.5613,94.5649,4552,0,0,1,0,1.3428,1.607,collision,1561.2,0.001531,0.528086,-0.895795,0.89592,3.017799,1.752853,0.021943,5.994219,0.445156,0.467937,-1.0,1.0,-3.242083,0.051313,2.359753,0.354697,0.067282,0.01769,0.059817,0.0002,0.0002,0.354697,-3.481352,0.006071,18439,gru
