episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
47,157942,38.581,-323.4719,3847,0,0,1,0,0.4017,1.879,collision,500.1,0.048221,0.430475,-0.880114,0.880466,3.191131,1.430782,0.049272,5.930771,0.454708,0.455066,-0.817582,1.0,,,,,,,,,,,,,0,gru
48,161703,-411.0892,-302.7766,3761,0,0,1,0,1.2482,1.891,collision,512.7,0.039607,0.427972,-0.869103,0.876485,3.20296,1.409931,0.081477,5.967734,0.464493,0.444089,-0.552225,1.0,0.064286,1.470405,2.194597,0.009972,1.074062,0.276221,0.627419,0.0005,,,,,0,gru
49,165119,-551.2909,-307.6605,3416,0,0,1,0,2.1169,1.862,collision,522.4,0.052411,0.437795,-0.871927,0.870065,3.147706,1.42183,0.038274,5.946508,0.460475,0.448572,-0.695646,1.0,,,,,,,,,,,,,0,gru
50,168306,-529.6538,-342.9354,3187,0,0,1,0,2.3185,1.876,collision,531.6,0.057863,0.431301,-0.880408,0.874563,3.202882,1.440229,0.106284,5.912195,0.459894,0.450017,-0.777904,1.0,,,,,,,,,,,,,0,gru
51,171732,631.1713,-274.7794,3426,1,1,0,0,0.2856,1.875,goal,541.4,0.033433,0.440774,-0.878747,0.874924,3.232018,1.425793,0.06523,5.92585,0.469473,0.456705,-0.965933,1.0,,,,,,,,,,,,,0,gru
52,174796,726.307,-171.4754,3064,1,1,0,0,0.2989,1.893,goal,551.6,0.022932,0.433024,-0.851521,0.885891,3.2465,1.424044,0.112147,5.941478,0.498007,0.441417,-0.309029,1.0,-0.0344,3.4274,2.191863,0.00997,2.613513,0.152889,1.124704,0.0005,,,,,0,gru
53,178716,-613.2677,-210.9287,3920,0,0,1,0,1.9713,1.882,collision,563.4,0.030308,0.439305,-0.870614,0.891082,3.226336,1.408241,0.058271,5.917272,0.463878,0.442404,-0.624751,1.001971,,,,,,,,,,,,,0,gru
54,182389,-18.3804,-160.5755,3673,0,0,1,0,0.4622,1.883,collision,574.4,0.029117,0.435309,-0.875926,0.881912,3.231829,1.429187,0.093499,5.897263,0.446875,0.45975,-1.0,1.0,,,,,,,,,,,,,0,gru
55,186236,-556.0712,-164.3371,3847,0,0,1,0,1.5691,1.902,collision,586.0,0.027258,0.436107,-0.871247,0.871281,3.318953,1.417567,0.091011,5.922175,0.472341,0.438107,-0.589753,1.0,,,,,,,,,,,,,0,gru
56,190053,-523.3396,-180.7033,3817,0,0,1,0,1.4697,1.904,collision,599.4,0.018938,0.427194,-0.884816,0.877396,3.288691,1.425988,0.079186,5.961611,0.475006,0.435313,-0.490051,1.009281,0.037438,1.218815,2.191569,0.009968,0.770144,0.353298,0.5457,0.0005,,,,,0,gru
57,193845,-211.5284,-205.7143,3792,0,0,1,0,0.7164,1.874,collision,610.3,0.027639,0.437272,-0.876652,0.890821,3.223169,1.42606,0.080689,5.9424,0.44455,0.464669,-1.0,1.0,,,,,,,,,,,,,0,gru
58,197551,-225.0768,-187.113,3706,0,0,1,0,0.903,1.874,collision,620.7,0.018989,0.438234,-0.869352,0.862559,3.181078,1.427676,0.086568,5.936041,0.476858,0.430519,-0.529708,1.0,,,,,,,,,,,,,0,gru
59,201227,-74.7814,-139.4621,3676,0,0,1,0,0.6689,1.877,collision,631.4,0.0335,0.437079,-0.864456,0.873002,3.201258,1.418885,0.042317,5.92013,0.467162,0.43814,-0.745176,1.0,,,,,,,,,,,,,0,gru
60,204541,-544.1468,-140.9114,3314,0,0,1,0,2.1314,1.852,collision,642.9,0.070698,0.435818,-0.866582,0.886003,3.097322,1.431682,0.066432,5.909578,0.455125,0.455162,-0.921266,1.0,0.038955,1.538925,2.200197,0.009965,1.063823,0.349421,0.521812,0.0005,,,,,0,gru
61,208438,-426.5124,-246.6798,3897,0,0,1,0,1.1993,1.869,collision,653.6,0.058818,0.43382,-0.87724,0.882682,3.15794,1.42056,0.080479,5.96543,0.455976,0.447172,-0.870257,1.0,,,,,,,,,,,,,0,gru
62,212079,-4.0318,-319.7136,3641,0,0,1,0,0.4066,1.862,collision,664.0,0.025816,0.4381,-0.867192,0.885713,3.156383,1.418527,0.112426,5.909012,0.447291,0.460364,-1.0,1.0,,,,,,,,,,,,,0,gru
63,215377,615.8384,-196.803,3298,1,1,0,0,0.2739,1.858,goal,673.4,0.041565,0.438285,-0.877396,0.870571,3.155046,1.419208,0.088613,5.939098,0.485372,0.456562,-0.53205,1.002263,,,,,,,,,,,,,0,gru
64,219277,-382.6966,-233.2346,3900,0,0,1,0,1.0919,1.86,collision,686.3,0.045319,0.445227,-0.868119,0.893355,3.157239,1.411667,0.094305,5.955558,0.440274,0.471494,-1.0,1.0,-0.025742,2.592973,2.196283,0.009963,1.894156,0.238473,0.567894,0.0005,,,,,0,gru
65,223277,-519.793,-229.6068,4000,0,0,0,1,1.6517,1.851,max_steps,697.9,0.063714,0.437356,-0.863111,0.879629,3.092169,1.408312,0.077819,5.927901,0.45767,0.451501,-0.786577,1.0,,,,,,,,,,,,,0,gru
66,225991,-519.4983,-229.2227,2714,0,0,1,0,2.7265,1.809,collision,705.4,0.116962,0.422638,-0.859678,0.888379,2.956603,1.429596,0.053182,5.89048,0.429302,0.47186,-1.0,1.005396,,,,,,,,,,,,,0,gru
67,229991,-505.3026,-258.6001,4000,0,0,0,1,1.492,1.838,max_steps,716.7,0.073117,0.436852,-0.889368,0.893603,3.083184,1.427547,0.104049,5.955351,0.455904,0.460474,-0.782885,1.0,,,,,,,,,,,,,0,gru
68,232557,-560.0927,-292.1017,2566,0,0,1,0,3.0228,1.787,collision,725.8,0.128163,0.427651,-0.848778,0.877607,2.901458,1.432392,0.059271,5.882276,0.40315,0.488739,-1.0,1.0,0.033354,0.784981,2.187142,0.00996,0.578593,0.297382,0.679235,0.0005,,,,,0,gru
69,234635,-561.6198,-340.7856,2078,0,0,1,0,3.5992,1.803,collision,731.6,0.139278,0.420736,-0.875288,0.888488,2.974147,1.453419,0.143419,5.942284,0.369941,0.516665,-1.0,1.187384,,,,,,,,,,,,,0,gru
70,238532,-226.5234,-309.0232,3897,0,0,1,0,0.9106,1.857,collision,742.6,0.052423,0.431763,-0.863565,0.882007,3.129219,1.43077,0.077784,5.915872,0.457605,0.44888,-0.776732,1.000181,,,,,,,,,,,,,0,gru
71,242477,-443.3405,-310.706,3945,0,0,1,0,1.2159,1.854,collision,753.8,0.053412,0.437522,-0.868255,0.887194,3.141897,1.446586,0.04186,5.914756,0.457352,0.445163,-0.875867,1.0,,,,,,,,,,,,,0,gru
72,245740,-534.1571,-363.7186,3263,0,0,1,0,2.1043,1.832,collision,764.3,0.079291,0.442254,-0.865818,0.880962,3.054854,1.413625,0.046069,5.931235,0.453381,0.45731,-1.0,1.0,0.038883,1.10865,2.19403,0.009958,0.875454,0.413288,0.750023,0.0005,,,,,0,gru
73,249740,-94.5852,-434.7609,4000,0,0,0,1,0.8281,1.851,max_steps,775.7,0.067588,0.430104,-0.865249,0.885991,3.104558,1.447309,0.137384,5.926482,0.453948,0.459706,-0.79722,1.009098,,,,,,,,,,,,,0,gru
74,253161,-550.593,-451.5506,3421,0,0,1,0,1.9591,1.819,collision,785.5,0.092672,0.443006,-0.872784,0.883501,3.04852,1.432134,0.079469,5.927102,0.446924,0.463083,-0.999999,1.0,,,,,,,,,,,,,0,gru
75,257053,-272.5378,-426.825,3892,0,0,1,0,0.9846,1.869,collision,796.5,0.05545,0.43907,-0.874634,0.887467,3.165874,1.411117,0.105695,5.933889,0.450577,0.455282,-0.810139,1.0,,,,,,,,,,,,,0,gru
